"Location","1990","2000","2010","2020","2030","2040","2050"
"Mozambique",6819.5112576257,8536.20247795942,11837.1132458111,14627.7909337904,19404.2320153315,28557.421504448,43079.9677687638
"Mauritania",1180.65632856765,1245.34763021681,1520.43142150119,2083.81105637931,2885.66811772683,4170.38319033301,6040.29223738712
"Mauritius",700.740208677926,913.472515494687,1146.27407413101,1583.85291588099,2076.74780115126,2459.79047247948,2703.69845852166
"Malawi",4862.32836999775,6445.53631247436,7753.94441026671,10042.3944210877,13141.7776375185,19186.3101228987,28623.0034291864
"Malaysia",10536.4089390962,14973.793814486,20661.1183499849,27479.2918421434,42179.4032379574,57553.8110911319,74988.9699317385
"Namibia",540.774294321465,871.441805569911,1106.63869808815,1458.68209809821,1844.32110472456,2577.13688825135,3587.45961596688
"Niger",2513.02978973747,3171.49458640125,4184.39928372473,6236.49148913612,8714.70363224349,12587.0122562721,18944.4301163351
"Nigeria",32284.3138481365,40599.911393084,53796.4570807218,74791.8075587154,107622.413271832,165215.270217237,253434.308609729
"Nicaragua",1281.86241030288,1882.77916491142,2704.32982437577,3223.59623808753,4786.83926742629,6854.59453592607,9238.23052433708
"Niue",2.5795056998194,2.56913344392492,2.48286125952206,2.63504829163293,3.07915971857525,3.58772279565252,3.87451808077591
"Netherlands",36840.2731109515,41161.2366406986,45246.8028707524,49432.925173839,59416.7441632322,67357.225328683,70264.2893239865
"Norway",10631.4499398993,11179.8004731423,11595.082984275,12439.3729439196,15595.716344315,18877.2064587998,21354.6641123666
"Nepal",7433.03092982708,7964.20602518692,10689.9041801913,15596.4744353677,19807.8818418146,25768.7158181159,33257.2910896577
"Nauru",7.81464790754591,9.20574665936476,9.23014001844734,9.58522217329216,11.9008650549143,15.2722468094045,19.9567007019594
"New Zealand",6923.74919147469,7774.58655154773,8608.48597550656,10233.9864023971,13680.2147673923,17438.1418543198,20660.7927070197
"Oman",402.318131335234,500.050072562416,651.538449324739,844.65204852485,1535.16823238239,3009.23819904817,5518.23118924545
"Pakistan",61411.4122856309,92294.301667665,114605.296458526,152411.219361641,203679.912409956,283252.133027819,387836.917652979
"Panama",1531.9147606986,2107.75302639929,2957.35691138948,4001.54490933392,5424.8433735248,7495.40738682657,9905.54572160711
"Peru",15334.858921182,19643.6708738853,25886.1426611994,36111.1629860285,44433.595675575,59608.1881936326,77618.5431687879
"Philippines",28580.4001237789,41147.3424534888,56245.1327489759,76912.8101160501,105520.46763107,145301.740322506,191856.504727619
"Palau",18.3634922847115,24.5383889089652,27.8788383841859,33.9740084724246,46.8209213144268,58.9892416233849,63.4636720173175
"Papua New Guinea",1587.73491002771,2060.08975994749,2800.06751085048,4223.82845695478,6099.88562708819,8898.15762376331,12689.0608311593
"Poland",81755.7984218,96682.4091941635,107814.011435707,122534.634269715,141438.435721836,165394.714923305,177920.694740802
"Puerto Rico",4450.5269469699,5463.9937853443,6061.78112069382,6219.12302259057,7214.52424550564,7993.47323395951,8268.5591722519
"Democratic People's Republic of Korea",21176.9662954212,26961.2239216949,34155.2188092922,37129.9846176574,44465.9752487276,51969.5369298515,57469.0708333804
"Portugal",22145.5846807345,25807.8180073425,28736.0586527527,30435.5994051038,33979.7788095151,38581.1140095906,42310.532710511
"Paraguay",1947.49262337199,3315.98166680803,4817.89289815583,6333.7037058336,8723.73480559825,11946.917053714,15482.5717982376
"Palestine",1090.37880054347,1417.84609828819,1948.47685705055,2434.14318611273,3675.76850669003,5744.21807337951,8558.40739621979
"Qatar",140.671666850899,234.011206736134,490.202152006268,738.22612540974,2198.51082528133,5371.22371584952,11440.9993405705
"Romania",34552.9544096573,41401.1972770202,49122.5720478526,53699.8213144195,57570.6609789568,60275.9532268342,60545.3557910202
"Russian Federation",289589.0154748,310677.388487737,298741.652456738,309693.660076114,351929.321998984,390882.23829624,413317.596610772
"Rwanda",5247.21559248361,5243.91776622707,5002.8186766664,7375.36230845849,10770.8833216866,16033.2963347372,23855.1903544211
"Saudi Arabia",3744.80723664645,5879.58934038285,8283.55003359989,11780.5983040359,22603.0135447984,39497.8170306763,61508.7123239616
"Senegal",2871.23497557289,3390.11124327907,5143.81368892984,7163.68019341132,9549.54374434898,13914.2936695489,20523.6411344834
"Singapore",3100.50856661918,3761.96550022118,4633.08109004641,6435.38714193417,9734.89125840804,14632.6478189254,19731.0601271625
"Solomon Islands",150.846151418211,209.636578429921,272.071785116165,395.693722311264,509.901447399504,673.484443419078,879.747512660367
"Sierra Leone",1753.73324029383,1830.00699227772,2397.21422809273,3186.56787440814,4282.94674484542,6201.56223701104,9207.92115037036
"El Salvador",2718.53890704323,3869.93064428292,4622.87147144288,5996.9433719025,7055.13367132058,8534.6995568327,10088.2306618703
"San Marino",65.2428109470735,83.0183110272465,96.6042314943716,74.7389258883837,93.9819836526154,115.703901237122,132.191480960301
"Somalia",3888.6285989483,5258.6653130559,6955.87101107454,8627.23268086389,11596.9431653648,16525.8041087932,23559.0400942804
"Serbia",19312.2267087933,23517.6459031218,25661.8752603504,27298.9666497824,28466.7256715773,31190.8689108714,33015.7949893884
"South Sudan",3300.12875701094,3351.71904140134,3774.04887808198,5134.77647436649,6883.70762928597,9673.34673768272,13556.6412074435
"Sao Tome and Principe",55.5194934087875,67.8161162525882,81.4440442339997,106.145305534376,142.632338596582,205.059724043139,284.249009459239
"Suriname",289.852723447987,377.526670082736,523.441196075413,714.841236553951,854.717353290141,1106.1267018287,1340.89680266487
"Slovakia",11462.3614274215,11866.7881266333,12766.1794886144,14039.09017079,16827.3853981446,19719.4505167847,21392.4908665788
"Slovenia",4143.74435887572,4960.57715418493,5640.91453608657,6204.99852180989,7047.70568776457,8252.6203656138,8920.6633367407
"Sweden",21796.1455570572,23439.8993179734,23626.2976751222,25714.9680043014,30599.9852264307,35185.3189897708,39435.8656673687
"Eswatini",421.193731995723,818.382974346751,1080.26806483405,1087.92995258959,1239.33543422874,1655.33403431881,2207.33678573721
"Seychelles",86.4137665177887,104.959062410767,130.298287618215,153.199106998465,210.483694799728,288.921636596311,362.470658655988
"Syrian Arab Republic",4293.57875311628,5636.22801616999,7140.48428560716,8582.07285473478,10920.3966543832,14068.6896153383,16994.4536045767
"Chad",2231.06657529778,3061.05158683892,4226.78774213344,5677.83157052399,7685.2994705584,11386.3235842083,17879.3768732302
"Togo",1045.25376619785,1514.82195258228,2370.14265351307,3423.27135686583,4904.29634457477,7231.96004151263,10411.4999371281
"Thailand",49259.3369827939,72906.3206657318,92331.9644484421,122442.228985131,155415.367552344,189755.543795694,213044.914528291
"Tajikistan",3450.48890039331,3154.76852374634,3637.2827641958,4352.26063062277,6197.06752047204,8529.11707355407,11079.0823698451
"Tokelau",1.54707351329448,1.60770901357109,1.58338108221024,1.71467327354994,1.9779584454279,2.385553074843,2.86813483914952
"Turkmenistan",2623.5358869514,2161.08972253943,2631.70233036197,3603.30161659914,4526.85427737734,5663.39195948675,6895.50298986873
"Timor-Leste",241.990238601176,306.038987578679,445.116428256382,663.642772397063,887.853343447321,1179.16719781625,1620.57948860693
"Tonga",83.7058848465501,110.724208452048,116.998997161073,123.823965364472,142.597960297949,175.836329515761,217.307511788138
"Trinidad and Tobago",1115.61322716196,1382.83636538177,1653.93920712304,2165.81499848558,2520.13776692949,3017.1033860838,3336.93354565999
"Tunisia",4056.7548524656,5925.3545511103,7340.31212188769,9526.8348510279,12698.5712038801,17066.9690730303,21231.6724505704
"Turkey",58618.2745320554,66702.6843304703,84958.5817403825,112170.866185716,146457.063515531,196481.808606901,247783.139169123
"Tuvalu",7.97685497471713,9.0876082648336,10.1087642758957,11.5720246186137,14.1217354510628,17.1814426918931,20.9104769323909
"Taiwan (Province of China)",20897.0262933721,34394.5870436816,45767.649599684,53653.989146008,71512.4791640422,90911.0916615519,101157.151401596
"United Republic of Tanzania",14673.6018054218,18254.7110872398,22471.3056981127,29570.6582931708,41750.7106239802,60888.7204392565,88940.6810024572
"Uganda",9616.88645269156,14762.5775895021,16781.4103270866,23534.4221285304,33924.6648057938,52680.7545631477,82517.9579227387
"Ukraine",112848.54812666,111045.59528945,88317.7814112077,82108.116239883,88345.4249907989,93405.3102464231,93899.6454030376
"Uruguay",7843.84779840141,8786.8341705975,9098.10607776871,9647.21206787573,11025.1066372285,12460.3146088778,13885.4177145416
"United States of America",545233.006841592,603139.849687869,636362.648384013,696141.31343254,879786.471087427,1041481.0560497,1108352.68643906
"Uzbekistan",12264.9412921356,11945.0389363613,12242.088575044,17803.521929815,24240.7428520045,31873.9350861704,39703.3530658872
"Saint Vincent and the Grenadines",109.352319036967,130.815528252307,156.722524285397,202.523088932806,245.13088915719,300.681564276632,341.152404839592
"Venezuela (Bolivarian Republic of)",12326.0741135574,17495.8690113955,23285.1407930217,33336.4653304211,38613.9649047333,46257.9378295104,52393.2964526501
"United States Virgin Islands",115.859010781028,163.14988187162,171.854216571157,170.065737905312,220.586083949124,266.797955777852,283.227003126792
"Viet Nam",41230.8430494915,53032.0886888742,69302.1837388574,96820.1083394264,138382.219386745,189915.871812179,243863.584274682
"Vanuatu",61.078531156609,85.9847538631597,119.920207029235,168.091926652736,219.358833176614,293.92221923756,391.391263605936
"Samoa",81.3855519028159,94.7038029520883,108.611816472774,130.946042638627,158.758846829927,197.103724468287,241.825533941816
"Yemen",4478.33286106562,5767.59167377433,8068.31368905843,11470.0240829784,15891.5390235735,24000.1739986865,36239.9646199069
"South Africa",23975.1984716358,38933.2331638135,51203.6551976063,60660.4288906088,75953.6159576973,100546.772291348,127708.198850316
"Zambia",4546.39952595997,6009.30754169894,7653.52662215794,11669.0869672648,16245.7635072478,25007.7670270812,38079.2560832459
"Zimbabwe",5746.99251769565,9618.29471706405,11999.4780545702,14047.6309147456,16698.982285963,22110.505964583,29844.2833866474
"Egypt",20362.3751193973,26674.8727367244,46367.5669729328,60610.2287139197,85452.8734322566,121970.740281281,167645.899506803
"Sudan",8242.67376376061,9969.1232925343,12196.5730236537,15870.8994775279,21707.0824908336,31865.5777721839,46010.5496325945
"China",1529117.00949655,1856586.8592232,2210958.35921901,2745713.46698371,3435342.41560477,4303240.61913395,5023534.77723668
"",NA,NA,NA,NA,NA,NA,NA
"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2019. Seattle, WA: IHME, University of Washington, 2020. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/13/2025). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions",NA,NA,NA,NA,NA,NA,NA
