Location;1990;2000;2010;2020;2030;2040;2050
Guatemala;3678.669003413356;6553.644967483408;8660.315594807813;10061.58184525937;12641.736812267782;16559.6187989163;21439.936838174384
Guam;79.85981970967707;100.842507684383;138.82670760740325;168.4978077303785;204.8817533724286;236.37654391652094;257.2665635526404
Guyana;449.0831982367279;589.4211526547859;607.5939226734812;720.3717706745285;901.3899408434876;1106.2496878318368;1291.0094595033008
Honduras;1925.544063549342;3050.1309223691383;4776.351106708448;7085.721482240046;9118.108689185508;12410.996483766394;17047.627089529957
Croatia;11534.96901589565;12342.067359444152;13096.453721012507;14142.240359910442;15542.622847807434;17011.584676516202;17356.063727764333
   Haiti;5711.220270247849;6597.341270334811;8216.712962145868;10549.329880638925;13228.416175134347;17556.108532213708;23316.35919816651
Hungary;30808.73168214126;33672.28691533759;34077.41325941731;33002.86142782088;35043.860858670596;37408.611733233796;38323.67958415229
Indonesia;85978.56813634244;122670.65039206244;162683.80374865854;221754.7155382892;307960.14705728006;419697.00282707333;539233.0981781327
India;353099.4439428743;448209.704052995;581279.087285901;840623.4823440664;1102529.974645403;1454188.2472046583;1881344.954620786
Ireland;7617.125756987432;8122.166686022129;8397.726005857361;9553.85720503518;11564.9689456585;14712.230925870797;17720.8417767715
Iran (Islamic Republic of);23301.01351652776;28627.91671744595;41939.44020713117;57198.33920661544;80699.19845946667;121835.15383429905;174207.13234698423
Iraq;7120.833717432749;9347.74356177051;13427.184142924436;21030.05643425012;30117.918239161394;45913.5622687445;67615.5912058958
Iceland;454.0122273244667;497.9729210055626;615.7598148287651;684.847340121553;877.9408805784816;1133.2750613260387;1345.7727609620745
Israel;7039.197856465159;10460.396708700851;11790.467556536416;13490.160172516957;17026.40970529378;22147.569535323404;26764.747581508593
Italy;154032.00432617465;168020.91796807552;180771.83490503443;189169.24045922564;210474.5608816169;237604.9656093655;258314.78920965103
Jamaica;2119.5933837776606;3115.712070852696;3483.587168548829;4004.369152036437;5100.716369603712;6474.888982343331;7752.563355859112
Jordan;1235.708394453774;1775.287282340294;2742.708184258908;4646.848134634309;7659.020018106328;12615.350795235883;19779.111480662406
Japan;243160.6946602924;324489.5612768199;396824.6163111688;448537.0169145296;516748.9059434843;550066.653399862;543751.1750313819
Kazakhstan;25130.1340911196;21592.251979692577;20283.117912756366;17431.113020454377;21285.922485944782;26673.321584344103;31755.418841113737
Kenya;6421.543318432152;9183.916061607544;15658.919899501012;21757.89165912613;30331.099222068027;44325.921954062505;63972.83436094057
   Kyrgyzstan;4241.810441267135;3384.7914157923747;3520.326931996224;4227.679507888143;5753.5139655128705;7864.659409070125;10178.563114796669
Cambodia;5958.549332802953;7461.806636431345;9969.906347338812;14303.794145756388;19142.1413393045;25951.591289850927;34601.60074308949
Kiribati;47.61479999999869;58.72324369643918;74.9795028516284;91.24457014003008;112.84220598394474;138.09042424571868;165.2529607411824
Saint Kitts and Nevis;64.13153128427986;60.33488344765743;69.09040788240416;87.90474990052275;122.06223204158627;167.3830849435297;198.36482306266427
Republic of Korea;57869.48938886676;67393.01678305239;77365.70602646677;94553.84871311388;130560.36049351764;179959.53500879536;223458.15895728403
Kuwait;469.1461306706804;661.945037996411;880.8903807682934;1502.3113219863587;2699.9904793127916;5134.876487914528;8977.831936139097
Lao People's Democratic Republic;2785.764349759714;3233.077193656284;3707.348293679052;4734.64306206833;6657.429978745516;9553.002845399567;13406.470282587907
Lebanon;2669.4079385466566;3316.0120460899616;5523.028508701893;6788.831332213087;7772.841771367544;10562.272339998075;14450.959926513164
Liberia;1088.8777075618275;1143.2774231618978;1524.4073632148427;2018.966481348773;2949.9191668293406;4556.150171858817;6925.45240426269
Libya;2288.931793886155;3130.2306352558244;4569.662948297419;6468.548094543473;9962.902705570361;15511.16813803432;21545.673284220684
Saint Lucia;143.96028143660237;169.9966429008215;197.42467079640957;308.101994764081;375.33857568428306;484.13921156403313;591.6013083661762
Sri Lanka;8697.616364764277;11793.529056190942;13061.252042179423;14558.209753461577;20159.220616316587;25159.6973910955;29495.564577148434
Lesotho;869.2966317408254;1467.219442571484;1969.9845083479029;2099.0742956915115;2181.587567469298;2701.682099412072;3582.9236832141446
Lithuania;6936.672747551055;7569.199391807484;8312.816243541438;8345.831243944554;9237.61653274037;10005.38157083001;10320.310389468601
Luxembourg;1043.8257551990894;1071.3231065129053;1184.9304998241582;1286.1579481323513;1711.3992771283479;2278.1046453240083;2866.6278628996542
Latvia;5639.088586031539;5590.75545434647;6053.8493789202585;5814.964546744451;5955.440779012184;6355.167961539685;6513.889105425392
Morocco;7650.339300016693;9400.440943507168;13293.036770410996;19384.42095611121;25387.053819788776;33579.66265428976;42225.02497273902
   Monaco;132.20138496897076;168.55536938857676;192.77938953379376;203.63177729752803;226.9740389760672;237.32126697331415;229.9010774214393
Republic of Moldova;6525.652065877109;5176.188456265356;6417.51580901061;6567.349255852013;7425.272203743007;8071.407824180114;8328.630924885121
Madagascar;6108.778779555444;6544.451046550395;8014.520720611898;11354.115703554762;15782.656808748226;23057.744087867803;32927.48636391488
Maldives;76.8794236198782;96.59604846148238;111.30281862289154;144.04736152912187;233.713997603442;417.4000943811528;741.2020762840608
Mexico;47962.34115704782;60898.626832153226;78248.71633201183;105708.10138681074;144746.8688941467;193717.0895767927;246126.2167026803
Marshall Islands;20.02927750305797;25.29032403595472;33.850829633335714;43.42689010093754;60.43136451111667;79.62800643535984;100.79885057878766
North Macedonia;2953.429411437892;3950.894072157712;4833.471370224414;4991.523372906407;5852.59472407119;7123.163784118085;8137.67704980439
Mali;4856.038669665445;5387.849055568951;7307.926702470424;9848.671533948176;13395.62316851366;19385.06618227011;28960.017132196655
Malta;636.7852602900808;712.9389097133915;862.3066122702013;943.7026777883508;1289.0623033533284;1515.5039621248568;1646.4364144523158
Myanmar;27812.76380553818;33010.91664920935;35262.877322369044;43295.91428263449;54524.789191388816;69397.12612657764;85982.4210211758
Montenegro;922.1382709469284;1207.0079126844323;1449.6067768699536;1717.6017815669118;1778.5815882806414;2018.895291743691;2129.9162943124297
Mongolia;2499.010065035892;2816.3789559410643;3747.980775888392;4728.204355724731;6969.23139284036;10303.951872475913;14096.187712406063
   Northern Mariana Islands;24.87653210571808;35.47249354406668;51.61316991123087;68.67808524815402;98.58067680752846;127.80035470619077;145.8547270554401
Mozambique;6819.511257625703;8536.20247795942;11837.113245811131;14627.790933790444;19404.232015331505;28557.421504448;43079.967768763745
Mauritania;1180.6563285676518;1245.3476302168074;1520.4314215011918;2083.811056379307;2885.668117726834;4170.383190333013;6040.292237387117
Mauritius;700.7402086779264;913.4725154946868;1146.274074131013;1583.8529158809922;2076.7478011512553;2459.7904724794794;2703.6984585216605
Malawi;4862.328369997753;6445.53631247436;7753.944410266707;10042.394421087718;13141.77763751851;19186.310122898707;28623.003429186352
Malaysia;10536.408939096187;14973.79381448596;20661.11834998488;27479.291842143357;42179.40323795745;57553.81109113193;74988.96993173852
Namibia;540.7742943214652;871.4418055699114;1106.638698088148;1458.6820980982052;1844.3211047245636;2577.136888251351;3587.4596159668827
Niger;2513.0297897374658;3171.49458640125;4184.399283724725;6236.491489136116;8714.703632243485;12587.012256272114;18944.430116335083
Nigeria;32284.3138481365;40599.911393084;53796.457080721775;74791.80755871536;107622.41327183189;165215.27021723683;253434.30860972905
Nicaragua;1281.8624103028792;1882.779164911424;2704.32982437577;3223.596238087529;4786.83926742629;6854.594535926069;9238.230524337081
Niue;2.579505699819403;2.5691334439249216;2.482861259522056;2.63504829163293;3.0791597185752524;3.5877227956525166;3.8745180807759145
Netherlands;36840.27311095151;41161.23664069865;45246.802870752406;49432.92517383897;59416.74416323216;67357.22532868302;70264.28932398646
Norway;10631.449939899318;11179.80047314235;11595.082984274995;12439.372943919649;15595.71634431502;18877.20645879982;21354.664112366638
Nepal;7433.030929827082;7964.20602518692;10689.904180191288;15596.474435367672;19807.881841814553;25768.715818115918;33257.29108965774
  Nauru;7.814647907545907;9.20574665936476;9.230140018447342;9.585222173292165;11.900865054914298;15.272246809404477;19.956700701959363
New Zealand;6923.74919147469;7774.586551547729;8608.485975506563;10233.986402397124;13680.214767392332;17438.141854319827;20660.792707019737
Oman;402.31813133523406;500.0500725624164;651.5384493247388;844.65204852485;1535.1682323823866;3009.238199048168;5518.231189245451
Pakistan;61411.41228563086;92294.30166766504;114605.29645852646;152411.2193616408;203679.91240995622;283252.13302781864;387836.9176529789
Panama;1531.9147606986044;2107.753026399293;2957.356911389482;4001.54490933392;5424.843373524801;7495.407386826574;9905.545721607108
Peru;15334.858921181958;19643.670873885298;25886.14266119937;36111.16298602855;44433.59567557497;59608.18819363259;77618.54316878786
Philippines;28580.40012377893;41147.3424534888;56245.132748975935;76912.81011605014;105520.46763106981;145301.7403225057;191856.50472761883
Palau;18.36349228471152;24.53838890896517;27.87883838418592;33.97400847242456;46.820921314426755;58.98924162338494;63.46367201731748
Papua New Guinea;1587.734910027706;2060.0897599474874;2800.067510850482;4223.828456954777;6099.885627088194;8898.157623763307;12689.060831159262
Poland;81755.79842180003;96682.40919416353;107814.01143570709;122534.63426971462;141438.43572183634;165394.71492330465;177920.6947408017
Puerto Rico;4450.526946969905;5463.9937853443;6061.781120693816;6219.123022590568;7214.524245505644;7993.473233959507;8268.559172251898
